鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總樓層數Eng
鳳山區,房地(土地+建物),高雄市鳳山區頂聖街２３號,74.48,住,,,1080225,土地1建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1021030.0,210.16,5,2,2,有,無,13800000,65664.0,,0.0,0,,RPUNMLKKNHOFFGE68CA,190.84,19.32,0.0,,,4.0
大樹區,房地(土地+建物),高雄市大樹區九曲里瓦厝街6之100號,568.91,工,,,1080308,土地2建物1車位0,一層,一層,工廠,見其他登記事項,見其他登記事項,1070613.0,369.28,0,0,0,有,無,21610000,,,0.0,0,,RPRNMLTJNHOFFGE56CA,369.28,0.0,0.0,,,1.0
鳳山區,房地(土地+建物)+車位,高雄市鳳山區溪濱路１１０巷１９號,74.08,住,,,1080314,土地2建物1車位1,全,四層,透天厝,見其他登記事項,見其他登記事項,931113.0,168.19,4,2,3,有,無,8200000,48754.0,一樓平面,0.0,0,含增建或未登記建物。買方等2人,RPRNMLLKNHOFFGE48CA,147.65,20.54,0.0,,,4.0
鳳山區,房地(土地+建物),高雄市鳳山區文殿街７７號三樓,10.83,住,,,1080407,土地1建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1000912.0,76.41,2,2,1,有,有,4150000,54312.0,,0.0,0,,RPXNMLOKNHOFFGE76CA,42.51,7.34,0.0,,,15.0
鳳山區,房地(土地+建物),高雄市鳳山區凱旋路３５１巷２之２號,19.03,住,,,1080418,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,710412.0,49.42,3,2,2,有,無,2950000,59692.0,,0.0,0,含增建或未登記建物。；,RPUNMLOKNHOFFGE09CA,49.42,0.0,0.0,,,5.0
鳳山區,房地(土地+建物),高雄市鳳山區濱山街８號六樓之７,24.43,住,,,1080320,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,690125.0,89.0,3,2,2,有,有,4200000,47191.0,,0.0,0,,RPUNMLQKNHOFFGE66CA,89.0,0.0,0.0,,,7.0
大樹區,房地(土地+建物),高雄市大樹區九曲路338號,88.7,住,,,1080222,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1080124.0,210.67,5,2,3,有,無,9160000,43480.0,,0.0,0,,RPUNMLPKNHOFFGE56CA,189.25,21.42,0.0,,,3.0
鳳山區,房地(土地+建物)+車位,高雄市鳳山區誠群街６８號,225.32,住,,,1080415,土地1建物1車位2,全,三層,透天厝,住家用,見其他登記事項,1030316.0,305.35,5,2,5,有,無,35000000,114623.0,一樓平面,0.0,0,,RPXQMLQKNHOFFGE27CA,297.49,7.86,0.0,,,3.0
湖內區,房地(土地+建物),高雄市湖內區中山路一段３０１巷６２弄１１號二樓,31.77,住,,,1080414,土地1建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,840321.0,159.52,5,2,2,有,無,3180000,19935.0,,0.0,0,,RPSNMLPJNHOFFJE56CA,101.92,27.71,0.0,,,12.0
路竹區,房地(土地+建物),高雄市路竹區自由街１３２巷１９弄１號,128.89,住,,,1080218,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1071115.0,267.26,5,3,4,有,無,11200000,41907.0,,0.0,0,,RPSOMLNJNHOFFJE09CA,245.75,21.51,0.0,,,4.0
仁武區,房地(土地+建物)+車位,高雄市仁武區八卦里大同南街42巷2號五樓,33.26,住,,,1080213,土地3建物1車位1,五層,五層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1071224.0,94.25,2,2,2,有,無,7500000,79576.0,一樓平面,0.0,0,1.本案建物交易總價含裝潢計價。2.本案停車位係屬使用權交易。,RPQNMLLMNHOFFIE78CA,56.6,7.72,0.0,,,5.0
仁武區,房地(土地+建物)+車位,高雄市仁武區八卦里大同南街42巷6號五樓,33.26,住,,,1080213,土地3建物1車位1,五層,五層,華廈(10層含以下有電梯),見其他登記事項,見其他登記事項,1071224.0,94.25,2,2,2,有,無,7500000,79576.0,一樓平面,0.0,0,1.本案建物交易總價含裝潢計價。2.本案停車位係屬使用權交易。,RPRNMLLMNHOFFIE88CA,56.6,7.72,0.0,,,5.0
鳥松區,房地(土地+建物),高雄市鳥松區仁美路２５巷２之２號,64.08,住,,,1080407,土地2建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,870319.0,178.24,3,2,4,有,無,6000000,33662.0,,0.0,0,,RPVNMLOKNHOFFIE76CA,145.54,32.7,0.0,,,3.0
