鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總樓層數Eng
龜山區,房地(土地+建物)+車位,桃園市龜山區萬壽路二段１４３３號４樓,23.73,住,,,1070623,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071026.0,154.0,3,2,2,有,無,10140000,67976.0,坡道平面,31.31,1800000,,RPUNMLSJLHOFFHH96CA,75.1,1.67,7.31,,,15.0
龜山區,房地(土地+建物)+車位,桃園市龜山區萬壽路二段１４３１號８樓,19.2,住,,,1070319,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071026.0,123.31,2,2,2,有,無,8500000,73370.0,坡道平面,31.31,1750000,,RPVNMLSJLHOFFHH07CA,57.64,0.0,5.01,,,15.0
龜山區,房地(土地+建物)+車位,桃園市龜山區萬壽路二段１４３５號９樓,24.0,住,,,1070401,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071026.0,154.07,3,2,2,有,無,10750000,72906.0,坡道平面,31.31,1800000,,RPWNMLSJLHOFFHH17CA,75.73,0.0,7.87,,,15.0
龜山區,房地(土地+建物)+車位,桃園市龜山區萬壽路二段１４３３號８樓,23.73,住,,,1070614,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071026.0,152.33,3,2,2,有,無,10580000,73376.0,坡道平面,31.31,1700000,,RPXNMLSJLHOFFHH27CA,75.1,0.0,7.31,,,15.0
龜山區,房地(土地+建物)+車位,桃園市龜山區萬壽路二段１４２１號１０樓,28.5,住,,,1061003,土地1建物1車位1,十層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071026.0,185.15,4,2,2,有,無,13140000,74038.0,坡道平面,31.31,1750000,,RPOOMLSJLHOFFHH09CA,94.09,2.22,9.19,,,14.0
龜山區,房地(土地+建物)+車位,桃園市龜山區萬壽路二段１４３１號１５樓,19.2,住,,,1070306,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071026.0,125.2,2,2,2,有,無,8300000,69230.0,坡道平面,31.31,1800000,,RPPOMLSJLHOFFHH56CA,57.64,1.89,5.01,,,15.0
龜山區,房地(土地+建物)+車位,桃園市龜山區萬壽路二段１４３７號９樓,19.25,住,,,1061011,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071026.0,123.62,2,2,2,有,無,8330000,70740.0,坡道平面,31.31,1800000,,RPQOMLSJLHOFFHH66CA,57.64,0.0,5.24,,,15.0
龜山區,房地(土地+建物)+車位,桃園市龜山區萬壽路二段１４３９號４樓,28.26,住,,,1070716,土地1建物1車位2,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071026.0,185.79,3,2,2,有,無,12800000,74694.0,坡道平面,62.62,3600000,,RPROMLSJLHOFFHH76CA,73.35,3.89,7.87,,,15.0
龜山區,房地(土地+建物)+車位,桃園市龜山區萬壽路二段１４３５號１５樓,24.0,住,,,1070416,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071026.0,154.07,3,2,2,有,無,10350000,70055.0,坡道平面,31.31,1750000,,RPSOMLSJLHOFFHH86CA,75.73,0.0,7.87,,,15.0
龜山區,房地(土地+建物)+車位,桃園市龜山區萬壽路二段１４３７號１３樓,19.25,住,,,1061029,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071026.0,123.62,2,2,2,有,無,8500000,73123.0,坡道平面,31.31,1750000,,RPTOMLSJLHOFFHH96CA,57.64,0.0,5.24,,,15.0
龜山區,房地(土地+建物)+車位,桃園市龜山區萬壽路二段１４３７號７樓,19.25,住,,,1060924,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071026.0,123.62,2,2,2,有,無,8200000,69873.0,坡道平面,31.31,1750000,,RPUOMLSJLHOFFHH07CA,57.64,0.0,5.24,,,15.0
龜山區,房地(土地+建物)+車位,桃園市龜山區萬壽路二段１４３１號１３樓,19.2,住,,,1061002,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071026.0,124.98,2,2,2,有,無,8280000,70247.0,坡道平面,31.31,1700000,,RPVOMLSJLHOFFHH17CA,57.64,1.67,5.01,,,15.0
龜山區,房地(土地+建物)+車位,桃園市龜山區萬壽路二段１４３３號１５樓,23.73,住,,,1070327,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071026.0,152.33,3,2,2,有,無,10420000,71641.0,坡道平面,31.31,1750000,,RPWOMLSJLHOFFHH27CA,75.1,0.0,7.31,,,15.0
龜山區,房地(土地+建物)+車位,桃園市龜山區萬壽路二段１４２９號６樓,23.86,住,,,1061006,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071026.0,153.19,3,2,2,有,無,10810000,73925.0,坡道平面,31.31,1800000,,RPOPMLSJLHOFFHH56CA,75.73,0.0,7.31,,,15.0
龜山區,房地(土地+建物)+車位,桃園市龜山區萬壽路二段１４１９號１２樓,28.34,住,,,1061006,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071026.0,186.52,4,2,2,有,無,12910000,71903.0,坡道平面,31.31,1750000,,RPPPMLSJLHOFFHH66CA,93.36,4.63,9.19,,,14.0
龜山區,房地(土地+建物)+車位,桃園市龜山區萬壽路二段１４２９號７樓,23.86,住,,,1070602,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1071026.0,153.19,3,2,2,有,無,10800000,74253.0,坡道平面,31.31,1750000,,RPQPMLSJLHOFFHH76CA,75.73,0.0,7.31,,,15.0
龜山區,房地(土地+建物),桃園市龜山區文二一街８號十樓之６,5.14,商,,,1080114,土地1建物1車位0,十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,920820.0,47.42,2,1,1,有,有,6300000,132855.0,,0.0,0,含增建或未登記建物。；,RPQNMLPLKHOFFHH98CA,30.43,0.0,3.34,,,10.0
龜山區,房地(土地+建物)+車位,桃園市龜山區忠義路二段４８９巷３１號四樓,55.85,住,,,1080112,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,951226.0,167.04,3,2,2,有,有,8850000,52981.0,坡道平面,38.63,0,,RPRNMLPLKHOFFHH09CA,85.23,1.5,11.94,,,7.0
龜山區,房地(土地+建物),桃園市龜山區東萬壽路313巷16弄19號,85.25,,山坡地保育區,丙種建築用地,1071220,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,841020.0,205.92,4,2,3,有,有,6600000,32051.0,,0.0,0,,RPRNMLRLKHOFFHH66CA,123.98,20.98,11.04,,,3.0
龜山區,房地(土地+建物),桃園市龜山區萬壽路二段３４５號五樓,75.77,工,,,1071128,土地1建物1車位0,五層,十層,華廈(10層含以下有電梯),工業用,鋼筋混凝土造,820722.0,562.66,7,2,3,有,有,17020000,30249.0,,0.0,0,,RPVNMLPJLHOFFHH76CA,435.1,0.0,53.53,,,10.0
平鎮區,房地(土地+建物)+車位,桃園市平鎮區忠孝路１０８之３號四樓,21.18,住,,,1071214,土地1建物1車位1,四層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,820222.0,127.35,3,2,1,有,無,5180000,40675.0,坡道平面,0.0,0,,RPQPMLMLLHOFFGH88CA,79.3,0.0,9.02,,,8.0
平鎮區,房地(土地+建物)+車位,桃園市平鎮區中豐路116號10F,29.32,住,,,1080105,土地1建物1車位1,十層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070627.0,205.09,3,2,2,有,有,17168000,91281.0,坡道平面,34.55,1601000,,RPOOMLTKLHOFFGH56CA,105.71,0.0,10.92,,,18.0
平鎮區,房地(土地+建物)+車位,桃園市平鎮區中豐路128號10F,32.05,住,,,1080105,土地1建物1車位2,十層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070627.0,236.52,3,2,2,有,有,18338000,91351.0,坡道平面,69.1,3044000,,RPPOMLTKLHOFFGH66CA,102.03,0.0,12.48,,,18.0
平鎮區,房地(土地+建物),桃園市平鎮區廣豐街福壽十一巷８號五樓,15.55,住,,,1080122,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,701228.0,66.06,2,1,1,有,無,900000,13624.0,,0.0,0,,RPPNMLSKLHOFFGH09CA,53.85,0.0,12.21,,,5.0
平鎮區,房地(土地+建物)+車位,桃園市平鎮區新興路179巷29弄2號四樓,42.93,住,,,1070121,土地1建物1車位1,四層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070913.0,215.21,4,2,2,有,有,13890000,66040.0,坡道平面,26.84,1450000,,RPSNMLSKLHOFFGH76CA,107.41,7.29,12.41,,,12.0
