鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總樓層數Eng
中和區,房地(土地+建物)+車位,新北市中和區中山路二段３３２巷３７號七樓,14.29,工,,,1080225,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1060118.0,125.51,0,0,0,無,有,13820000,128562.0,坡道平面,33.57,2000000,,RPVNMLSJMHOFFHF96CA,52.64,1.24,4.42,,,15.0
中和區,房地(土地+建物),新北市中和區中和路378巷18弄6之1號,27.33,住,,,1071217,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,660530.0,89.06,2,2,2,有,無,11000000,123512.0,,0.0,0,含增建或未登記建物。；,RPVOMLTLLHOFFHF27CA,71.76,0.0,17.3,,,5.0
中和區,房地(土地+建物),新北市中和區大勇街43巷16號2樓,30.61,住,,,1080215,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,761216.0,94.99,3,2,2,有,無,11150000,117381.0,,0.0,0,含增建或未登記建物。；,RPQQMLTLLHOFFHF96CA,85.36,0.0,9.63,,,5.0
中和區,房地(土地+建物)+車位,新北市中和區中山路二段３３２巷３號十三樓,28.14,工,,,1080124,土地1建物1車位2,十三層,十四層,辦公商業大樓,見其他登記事項,見其他登記事項,1060118.0,243.01,0,0,0,無,有,25180000,120998.0,坡道平面,67.14,3900000,建商與地主合建案。；,RPXQMLTLLHOFFHF67CA,93.53,13.96,5.4,,,14.0
中和區,房地(土地+建物),新北市中和區新生街２２０巷１弄１２之２號,42.79,住,,,1080226,土地1建物1車位0,三層,四層,公寓(5樓含以下無電梯),住家用,加強磚造,650124.0,93.45,3,1,1,有,無,7300000,78117.0,,0.0,0,,RPTNMLTLLHOFFHF96CA,93.45,0.0,0.0,,,4.0
永和區,房地(土地+建物),新北市永和區竹林路２０１巷２２弄１９號二樓,29.5,住,,,1080321,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),見其他登記事項,見其他登記事項,611013.0,85.24,3,2,1,有,無,9900000,116143.0,,0.0,0,,RPQOMLSLLHOFFHF66CA,69.69,0.0,15.55,,,4.0
永和區,房地(土地+建物),新北市永和區勵行街７２巷８號,40.0,住,,,1080210,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,750530.0,58.02,2,1,1,有,無,10000000,172354.0,,0.0,0,含增建或未登記建物。；,RPQNMLNKMHOFFHF68CA,58.02,0.0,0.0,,,2.0
中和區,房地(土地+建物)+車位,新北市中和區中和路２２９號五樓,10.49,商,,,1061112,土地3建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1071218.0,121.07,2,2,2,有,有,16970000,152684.0,坡道機械,14.51,700000,,RPQNMLPKMHOFFHF88CA,63.72,1.64,8.2,,,13.0
中和區,房地(土地+建物),新北市中和區中和路２３１號七樓,6.05,商,,,1040809,土地3建物1車位0,七層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1071218.0,63.84,2,2,1,有,有,11000000,172306.0,,0.0,0,,RPRNMLPKMHOFFHF98CA,39.37,1.39,3.41,,,13.0
中和區,房地(土地+建物)+車位,新北市中和區中和路２３５號四樓,9.72,商,,,1040906,土地3建物1車位1,四層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1071218.0,113.79,2,2,2,有,有,17200000,161160.0,坡道機械,14.51,1200000,,RPSNMLPKMHOFFHF09CA,60.3,1.52,7.46,,,13.0
